Zeit;Kanal A
(ms);(mV)

-22,48187412;11,72982000
-22,47687412;12,10199000
-22,47187412;11,17126000
-22,46687412;11,17126000
-22,46187412;10,61270000
-22,45687412;10,61270000
-22,45187412;10,42630000
-22,44687412;10,05413000
-22,44187412;10,05413000
-22,43687412;9,86774200
-22,43187412;10,61270000
-22,42687412;9,86774200
-22,42187412;11,17126000
-22,41687412;10,79847000
-22,41187412;10,61270000
-22,40687412;10,61270000
-22,40187412;9,30917700
-22,39687412;11,17126000
-22,39187412;11,17126000
-22,38687412;11,72982000
-22,38187412;12,10199000
-22,37687412;11,35704000
-22,37187412;12,10199000
-22,36687412;11,72982000
-22,36187412;11,54343000
-22,35687412;11,91621000
-22,35187412;11,17126000
-22,34687412;11,17126000
-22,34187412;11,17126000
-22,33687412;10,79847000
-22,33187412;11,54343000
-22,32687412;11,72982000
-22,32187412;11,35704000
-22,31687412;11,35704000
-22,31187412;11,72982000
-22,30687412;11,35704000
-22,30187412;10,61270000
-22,29687412;11,35704000
-22,29187412;12,28839000
-22,28687412;12,10199000
-22,28187412;11,91621000
-22,27687412;12,28839000
-22,27187412;11,72982000
-22,26687412;12,10199000
-22,26187412;12,47478000
-22,25687412;11,72982000
-22,25187412;11,72982000
-22,24687412;11,91621000
-22,24187412;11,17126000
-22,23687412;11,35704000
-22,23187412;11,17126000
-22,22687412;10,42630000
-22,22187412;11,72982000
-22,21687412;9,49557100
-22,21187412;8,37844500
-22,20687412;7,44709600
-22,20187412;6,51636300
-22,19687412;4,84067400
-22,19187412;4,65428200
-22,18687412;2,97859200
-22,18187412;1,48929600
-22,17687412;0,00000000
-22,17187412;-2,04785900
-22,16687412;-2,60642200
-22,16187412;-3,53715500
-22,15687412;-4,46850300
-22,15187412;-4,65428200
-22,14687412;-4,46850300
-22,14187412;-3,16498500
-22,13687412;-2,42002900
-22,13187412;-2,60642200
-22,12687412;-1,11712600
-22,12187412;-0,18577760
-22,11687412;0,93073320
-22,11187412;1,48929600
-22,10687412;2,04785900
-22,10187413;1,67568900
-22,09687413;1,86146600
